report,chapter,section,words,source_file
fourth_report,,Shipman's Use of Pethidine in the 1970s,1115,4r_page.asp_p=1_id=3075_ebac26e8.html
fourth_report,,Shipman's Methods of Obtaining Diamorphine while Working in Hyde,906,4r_page.asp_id=3076_eb3161a7.html
fourth_report,,Shipman's Abnormal Prescribing of Diamorphine in 1993,1372,4r_page.asp_p=1_id=3077_3526796c.html
fourth_report,,Other Types of Misconduct Connected with Controlled Drugs,286,4r_page.asp_p=1_id=3078_13663677.html
fourth_report,,Systemic Shortcomings,1516,4r_page.asp_p=1_id=3079_01527397.html
fourth_report,,Conclusion,442,4r_page.asp_id=3080_440c4321.html
fourth_report,,RECOMMENDATIONS,23,4r_page.asp_id=3081_8dcdd39b.html
fourth_report,,RECOMMENDATIONS,51,4r_page.asp_ID=3082_0d7e0e14.html
fourth_report,,Inspection Arrangements,200,4r_page.asp_id=3083_5c3563bb.html
fourth_report,,Prescribing Rights of Medical Practitioners,465,4r_page.asp_id=3084_bac2211c.html
fourth_report,,Prescriptions,427,4r_page.asp_id=3085_1f33416e.html
fourth_report,,Safe Custody and Record Keeping for General Practitioners,366,4r_page.asp_id=3086_e1539a6b.html
fourth_report,,Controlled Drugs in the Pharmacy,562,4r_page.asp_id=3087_744b1588.html
fourth_report,,Controlled Drugs in the Community,314,4r_page.asp_p=1_id=3088_0b77c58b.html
fourth_report,,CHAPTER ONE - Introduction,15,4r_page.asp_id=3089_fa38464f.html
fourth_report,CHAPTER ONE - Introduction,Controlled Drugs,396,4r_page.asp_p=1_id=3091_a11f36a3.html
fourth_report,CHAPTER ONE - Introduction,Pethidine and Diamorphine,825,4r_page.asp_id=3092_32a926ac.html
fourth_report,CHAPTER ONE - Introduction,The Inquiry's Approach,1583,4r_page.asp_id=3094_32fcde3f.html
fourth_report,"CHAPTER TWO - The Conduct of Phase Two, Stage Three of the Inquiry",Striking the Balance,375,4r_page.asp_id=3095_c5099477.html
fourth_report,,"CHAPTER TWO - The Conduct of Phase Two, Stage Three of the Inquiry",17,4r_page.asp_id=3096_d55ba0a4.html
fourth_report,"CHAPTER TWO - The Conduct of Phase Two, Stage Three of the Inquiry",Introduction,183,4r_page.asp_ID=3097_58d2b9c1.html
fourth_report,"CHAPTER TWO - The Conduct of Phase Two, Stage Three of the Inquiry",The Collection of Evidence,2611,4r_page.asp_id=3098_991653d3.html
fourth_report,"CHAPTER TWO - The Conduct of Phase Two, Stage Three of the Inquiry",Before the Oral Hearings,372,4r_page.asp_id=3099_e3339aad.html
fourth_report,"CHAPTER TWO - The Conduct of Phase Two, Stage Three of the Inquiry",The Oral Hearings,199,4r_page.asp_p=1_id=3100_b5daf865.html
fourth_report,"CHAPTER TWO - The Conduct of Phase Two, Stage Three of the Inquiry",Submissions,50,4r_page.asp_id=3101_4e7d5616.html
fourth_report,"CHAPTER TWO - The Conduct of Phase Two, Stage Three of the Inquiry",The Inquiry's Consultations,80,4r_page.asp_p=1_id=3102_90fe9f08.html
fourth_report,"CHAPTER TWO - The Conduct of Phase Two, Stage Three of the Inquiry",The Seminars,250,4r_page.asp_p=1_id=3103_80b036d2.html
fourth_report,,CHAPTER THREE - A Brief History of the Regulation of Controlled Drugs,39,4r_page.asp_id=3104_1f9c4b3f.html
fourth_report,CHAPTER THREE - A Brief History of the Regulation of Controlled Drugs,The Origins of the Royal Pharmaceutical Society of Great Britain and the Passage of the Pharmacy Act 1868,300,4r_page.asp_p=1_id=3106_11e26577.html
fourth_report,CHAPTER THREE - A Brief History of the Regulation of Controlled Drugs,The Dangerous Drugs Act 1920,362,4r_page.asp_p=1_id=3107_5077b898.html
